firstName,lastName,Position,Height,Weight,Class,Hometown,Highschool,collegeNameShort,collegeNameFull,mascot,hit_AVG,hit_GP,hit_GS,hit_AB,hit_R,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SLG%,hit_BB,hit_HBP,hit_SO,hit_GDP,hit_OB%,hit_SF,hit_SH,hit_SB,hit_PO,hit_A,hit_E,hit_FLD%,pitch_ERA,pitch_W,pitch_L,pitch_APP,pitch_GS,pitch_CG,pitch_SHO,pitch_SV,pitch_IP,pitch_H,pitch_R,pitch_ER,pitch_BB,pitch_SO,pitch_2B,pitch_3B,pitch_HR,pitch_BF,pitch_BAVG,pitch_WP,pitch_HBP,pitch_BK,pitch_SFA,pitch_SHA
Jake,Godfrey,Right-Handed Pitcher,6-3,225,Senior,New Lenox  Ill.,Providence Catholic,ASU,Arizona State University,Sun Devil,.000,28,4,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,1,4,0,1.000,5.32,2,3,28,4,0,0,2,42.1,42,31,25,31,35,11,0,2,201,.263,9,7,1,1,2
Hunter,Bishop,Outfield,6-5,210,Sophomore,Palo Alto  Calif.,Serra,ASU,Arizona State University,Sun Devil,.276,100,78,293,49,81,10,5,10,51,.447,33,5,94,8,.357,2,3,8,131,2,7,.950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam,Romero,Right-Handed Pitcher,6-2,180,Junior,Phoenix  Ariz.,Alhambra,ASU,Arizona State University,Sun Devil,.000,20,14,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,1,3,1,.800,6.18,2,1,19,13,0,0,2,67,78,53,46,29,61,18,5,4,307,.291,11,6,0,3,1
Lyle,Lin,Catcher,6-1,205,Sophomore,Taipei  Taiwan,JSerra Catholic,ASU,Arizona State University,Sun Devil,.302,110,110,441,55,133,25,1,4,43,.390,25,10,62,7,.350,4,2,3,852,80,11,.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,Schneider,Right-Handed Pitcher,6-3,205,Senior,Austin  Texas,Lake Travis,ASU,Arizona State University,Sun Devil,.000,39,2,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,1,4,1,.833,8.93,1,1,38,1,0,0,1,41.1,61,47,41,36,36,14,2,2,221,.357,6,8,0,3,3
Brady,Corrigan,Right-Handed Pitcher,6-2,200,Freshman,Plainfield  Ill.,Plainfield North,ASU,Arizona State University,Sun Devil,.000,17,4,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,3,2,1,.833,5.18,1,6,17,4,0,0,1,33,29,28,19,17,23,4,0,1,147,.236,3,3,0,1,3
Colby,Davis,Right-Handed Pitcher,6-8,225,Freshman,Scottsdale  Ariz.,Chaparral,ASU,Arizona State University,Sun Devil,.000,4,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,0,0,.000,9.00,0,0,4,0,0,0,0,4,7,4,4,2,4,2,0,0,20,.389,0,0,0,0,0
Myles,Denson,Outfield,6-2,180,Sophomore,Las Vegas  Nev.,Bishop Gorman,ASU,Arizona State University,Sun Devil,.200,50,20,80,5,16,2,0,0,6,.225,8,0,24,2,.273,0,2,0,27,0,1,.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter,Jump,Oufielder,5-11,190,Freshman,Aliso Viejo  Calif.,Aliso Niguel,ASU,Arizona State University,Sun Devil,.370,36,21,100,13,37,4,2,1,22,.480,9,0,14,5,.418,1,0,2,21,1,1,.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke,Leisenring,Catcher,6-3,195,Freshman,Golden  Colo. ,Ralston Valley,ASU,Arizona State University,Sun Devil,.250,20,6,24,2,6,0,0,0,1,.250,4,0,12,0,.345,1,0,0,59,12,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dellan,Raish,Left-Handed Pitcher,6-2,180,Redshirt Freshman,Cave Creek  Ariz.,Cactus Shadows,ASU,Arizona State University,Sun Devil,.000,22,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,4,0,1.000,3.00,4,1,22,0,0,0,0,42,33,14,14,11,47,2,0,2,174,.214,2,4,1,2,3
Spencer,Van Scoyoc,Left-Handed Pitcher,6-4,200,Sophomore,Cedar Rapids  Iowa,Jefferson,ASU,Arizona State University,Sun Devil,.333,26,12,3,0,1,0,0,0,0,.333,0,0,1,0,.333,0,0,0,5,14,2,.905,4.99,0,5,25,11,0,0,0,52.1,48,42,29,55,35,11,1,1,269,.247,9,13,1,3,4
Taylor,Lane,Infielder,6-4,205,Senior,Chesapeake  Va.,IMG,ASU,Arizona State University,Sun Devil,.278,88,66,245,29,68,7,1,3,26,.351,18,1,50,6,.327,2,1,8,147,65,8,.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
