firstName,lastName,Position,Height,Weight,Class,Hometown,Last School(s),collegeNameShort,collegeNameFull,mascot,hit_AVG,hit_GP,hit_GS,hit_AB,hit_R,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SLG%,hit_BB,hit_HBP,hit_SO,hit_GDP,hit_OB%,hit_SF,hit_SH,hit_SB,hit_PO,hit_A,hit_E,hit_FLD%,pitch_ERA,pitch_W,pitch_L,pitch_APP,pitch_GS,pitch_CG,pitch_SHO,pitch_SV,pitch_IP,pitch_H,pitch_R,pitch_ER,pitch_BB,pitch_SO,pitch_2B,pitch_3B,pitch_HR,pitch_BF,pitch_BAVG,pitch_WP,pitch_HBP,pitch_BK,pitch_SFA,pitch_SHA
Quentin,Selma,Infield,6-2,210,Freshman,Clovis  Calif.,Buchanan HS,CAL,University of California Berkely,Bear,.103,17,8,29,3,3,0,0,0,1,.103,5,0,9,0,.229,1,0,0,7,1,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogelio,Reyes,Pitcher,6-2,175,Sophomore,Union City  Calif.,James Logan HS,CAL,University of California Berkely,Bear,.000,23,12,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,3,2,0,1.000,8.20,5,7,23,12,0,0,0,56,74,54,51,35,47,20,5,9,282,.314,9,9,0,1,1
Tommy,Henderson,Infield,6-0,207,Sophomore,Walnut Creek  Calif.,Acalanes HS,CAL,University of California Berkely,Bear,.000,5,0,7,1,0,0,0,0,0,.000,1,0,2,0,.125,0,0,0,1,4,1,.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Wolger,Pitcher,6-4,210,Sophomore,Folsom  Calif.,Jesuit HS,CAL,University of California Berkely,Bear,.000,7,1,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,1,0,1.000,5.25,0,0,7,1,0,0,0,12,19,15,7,6,2,1,0,2,63,.352,1,1,0,1,1
Cole,Lemmel,Outfield,6-0,190,Junior,San Diego  Calif.,Point Loma HS,CAL,University of California Berkely,Bear,.000,7,0,3,2,0,0,0,0,0,.000,0,0,1,0,.000,0,0,0,2,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew,Buckley,Pitcher,6-2,230,Senior,Concord  Calif.,De La Salle HS,CAL,University of California Berkely,Bear,.000,51,1,0,1,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,5,8,1,.929,4.85,3,2,50,1,0,0,1,55.2,41,33,30,48,31,5,2,2,268,.209,8,15,2,4,5
Erik,Martinez,Pitcher,5-11,193,Senior,West Covina  Calif.,South Hills HS,CAL,University of California Berkely,Bear,.000,88,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,6,22,2,.933,2.89,12,7,88,0,0,0,15,134,101,64,43,82,152,22,1,5,596,.210,13,16,1,6,11
Aaron,Shortridge,Pitcher,6-3,196,Junior,Napa  Calif.,Vintage HS,CAL,University of California Berkely,Bear,.000,43,15,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,5,30,2,.946,2.94,7,4,43,15,3,1,2,128.2,130,52,42,33,102,18,3,7,539,.268,11,4,2,3,14
Connor,Mack,Outfield,6-3,211,Freshman,San Jose  Calif.,Bellarmine College Prep,CAL,University of California Berkely,Bear,.200,14,0,5,2,1,0,0,0,1,.200,1,0,3,0,.286,1,0,2,1,0,1,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reuben,Drogin,Pitcher,5-10,210,Freshman,Berkeley  Calif.,Berkeley HS,CAL,University of California Berkely,Bear,.000,2,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,0,0,.000,0.00,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,6,.400,0,1,0,0,0
Arman,Sabouri,Pitcher,5-10,200,Sophomore,San Jose  Calif.,Branham HS,CAL,University of California Berkely,Bear,.000,39,1,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,2,8,1,.909,4.59,6,5,39,1,0,0,1,66.2,55,43,34,24,68,12,2,2,287,.230,6,15,0,3,6
Connor,Jackson,Pitcher,6-3,218,Junior,Orinda  Calif.,Miramonte HS,CAL,University of California Berkely,Bear,.000,2,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,1,0,0,1.000,21.69,0,0,2,0,0,0,0,1.2,3,4,4,1,0,0,0,1,10,.429,0,2,0,0,0
Zayne,Patino,Pitcher,6-0,215,Senior,San Jose  Calif.,Sobrato HS,CAL,University of California Berkely,Bear,.000,37,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,4,6,0,1.000,4.74,4,2,37,0,0,0,0,57,53,35,30,33,55,8,1,4,261,.255,6,12,0,0,8
Kevin,Flemer,Pitcher,6-3,210,Senior,El Cerrito  Calif.,Oregon State,CAL,University of California Berkely,Bear,.000,3,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,0,0,.000,19.31,0,0,3,0,0,0,0,2.1,5,6,5,2,0,1,1,1,15,.385,3,0,0,0,0
John,Lagattuta,Outfield,6-0,190,Freshman,Davis  Calif.,Davis HS,CAL,University of California Berkely,Bear,.000,5,1,7,1,0,0,0,0,1,.000,2,1,4,0,.300,0,0,0,1,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon,McIlwain,Outfield,6-1,195,Sophomore,Newton  Pa.,South Carolina,CAL,University of California Berkely,Bear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor,Neumann,Pitcher,6-4,230,Senior,Danville  Calif.,San Ramon Valley,CAL,University of California Berkely,Bear,.000,2,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,0,0,.000,0.00,0,0,2,0,0,0,0,2,1,0,0,4,4,0,0,0,11,.143,1,0,0,0,0
