firstName,lastName,Position,Height,Weight,Class,Hometown,High School,collegeNameShort,collegeNameFull,mascot,hit_AVG,hit_GP,hit_GS,hit_AB,hit_R,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SLG%,hit_BB,hit_HBP,hit_SO,hit_GDP,hit_OB%,hit_SF,hit_SH,hit_SB,hit_PO,hit_A,hit_E,hit_FLD%,pitch_ERA,pitch_W,pitch_L,pitch_APP,pitch_GS,pitch_CG,pitch_SHO,pitch_SV,pitch_IP,pitch_H,pitch_R,pitch_ER,pitch_BB,pitch_SO,pitch_2B,pitch_3B,pitch_HR,pitch_BF,pitch_BAVG,pitch_WP,pitch_HBP,pitch_BK,pitch_SFA,pitch_SHA
Tristan,Duncan,RHP,6-1,200,Redshirt Freshman,Lakeside  Calif.,El Capitan HS,UFO,University of Oregon,Duck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Acuna,RHP,6-4,160,Sophomore,Cypress  Calif.,Cypress HS,UFO,University of Oregon,Duck,.000,38,9,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,5,8,2,.867,5.60,3,3,38,9,0,0,0,70.2,71,51,44,32,53,17,2,3,330,.261,10,15,0,4,7
Ryne,Nelson,Infielder/RHP,6-3,175,Sophomore,Henderson  Nev.,Basic HS,UFO,University of Oregon,Duck,.170,79,57,176,23,30,6,0,0,8,.205,25,8,60,1,.301,0,7,4,63,120,9,.953,4.17,3,2,25,1,0,0,4,36.2,36,20,17,19,54,4,0,1,165,.259,5,0,0,2,5
Jacob,Bravo,First Base,5-11,210,Freshman,Ventura  Calif.,St. Bonaventure HS,UFO,University of Oregon,Duck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peyton,Fuller,Right-Handed Pitcher,6-3,170,Freshman,Ashland  Ore.,Ashland HS,UFO,University of Oregon,Duck,.000,16,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,1,0,1.000,3.68,0,1,16,0,0,0,0,14.2,18,7,6,5,11,4,1,0,65,.316,0,2,1,1,0
Cullen,Kafka,Right-Handed Pitcher,6-3,200,Freshman,Walnut Creek  Calif.,De La Salle HS,UFO,University of Oregon,Duck,.000,16,6,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,3,4,0,1.000,6.80,3,2,16,6,0,0,0,41,53,32,31,14,37,11,3,1,191,.312,1,4,0,1,2
Jason,Drees,Outfielder,5-8,165,Sophomore,Stevenson Ranch  Calif.,West Ranch HS,UFO,University of Oregon,Duck,.238,33,6,42,3,10,1,0,0,4,.262,5,2,14,0,.347,0,0,0,5,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse,Hobaica,LHP,5-8,150,Senior,Tarzana  Calif.,Calabasas HS,UFO,University of Oregon,Duck,.000,17,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,3,0,1.000,9.72,0,1,17,0,0,0,0,16.2,23,22,18,8,18,5,0,6,82,.333,1,0,0,3,2
Alex,Andranovich,Outfielder,5-10,165,Freshman,Poway  Calif.,Poway HS,UFO,University of Oregon,Duck,.167,14,0,6,3,1,0,0,0,2,.167,1,0,2,0,.250,1,0,0,3,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor,Travess,Outfielder,5-10,175,Senior,Springfield  Ore.,Springfield HS,UFO,University of Oregon,Duck,.238,92,56,206,30,49,8,2,1,19,.311,27,0,45,0,.322,3,6,8,122,5,5,.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter,Breault,Right-Handed Pitcher,6-2,200,Freshman,Kapolei  Hawaii,Kamehemeha Schools,UFO,University of Oregon,Duck,.000,18,1,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,2,0,1.000,4.03,1,0,18,1,0,0,0,22.1,26,10,10,5,11,6,0,4,97,.299,3,3,0,1,1
