firstName,lastName,Position,Height,Weight,Class,Hometown,Highschool,collegeNameShort,collegeNameFull,mascot,hit_AVG,hit_GP,hit_GS,hit_AB,hit_R,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SLG%,hit_BB,hit_HBP,hit_SO,hit_GDP,hit_OB%,hit_SF,hit_SH,hit_SB,hit_PO,hit_A,hit_E,hit_FLD%,pitch_ERA,pitch_W,pitch_L,pitch_APP,pitch_GS,pitch_CG,pitch_SHO,pitch_SV,pitch_IP,pitch_H,pitch_R,pitch_ER,pitch_BB,pitch_SO,pitch_2B,pitch_3B,pitch_HR,pitch_BF,pitch_BAVG,pitch_WP,pitch_HBP,pitch_BK,pitch_SFA,pitch_SHA
Kyle,Nobach,Outfielder,5-10,193,Redshirt Senior,Marysville  Wash.,Marysville,OSU,Oregon State University,Beaver,.299,148,122,428,72,128,32,1,10,82,.449,53,14,94,7,.388,8,8,10,228,4,7,.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Anderson,Outfield,6-2,207,Redshirt Senior,Lake Oswego  Ore.,Lake Oswego,OSU,Oregon State University,Beaver,.276,175,123,486,93,134,18,2,1,67,.327,75,14,76,16,.386,2,15,5,264,6,4,.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zack,Zalesky,Catcher/Infield,5-10,195,Redshirt Freshman,Corvallis  Ore.,Corvallis,OSU,Oregon State University,Beaver,.125,8,1,8,1,1,0,0,0,2,.125,0,1,0,1,.182,2,0,0,12,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Britton,Left Handed Pitcher,6-3,207,Junior,Caldwell  Idaho,Caldwell,OSU,Oregon State University,Beaver,.000,31,9,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,2,16,6,.750,3.63,4,2,31,9,0,0,1,69.1,61,35,28,26,46,7,2,4,295,.240,4,4,2,0,11
Mitchell,Verburg,Right Handed Pitcher,6-3,204,Sophomore,Lake Oswego  Ore.,Lake Oswego,OSU,Oregon State University,Beaver,.000,14,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,2,1,.667,0.93,1,0,14,0,0,0,2,9.2,6,1,1,4,8,1,0,0,41,.176,1,1,0,1,1
Preston,Jones,Outfield,5-11,193,Sophomore,Vancouver  Wash.,Mountain View,OSU,Oregon State University,Beaver,.298,68,18,94,27,28,9,1,1,16,.447,10,1,23,0,.371,0,2,5,40,0,2,.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Chamberlain,Left-Handed Pitcher/Outfield,5-10,165,Freshman,Reno  Nev.,Reno,OSU,Oregon State University,Beaver,.000,20,3,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,3,0,1.000,3.54,3,0,20,3,0,0,0,40.2,29,16,16,28,49,6,1,1,182,.203,2,8,0,0,3
Adley,Rutschman,Catcher/Infield,6-2,216,Sophomore,Sherwood  Ore.,Sherwood,OSU,Oregon State University,Beaver,.329,128,123,459,94,151,29,4,11,116,.481,80,3,79,12,.424,10,3,6,1001,109,14,.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon,Eisert,Left Handed Pitcher,6-0,200,Sophomore,Beaverton  Ore.,Aloha,OSU,Oregon State University,Beaver,.000,48,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,4,12,1,.941,2.43,10,3,48,0,0,0,9,103.2,76,33,28,31,102,19,0,2,420,.205,12,6,1,4,8
Jake,Mulholland,Left Handed Pitcher,6-2,205,Sophomore,Snohomish  Wash.,Snohomish,OSU,Oregon State University,Beaver,.000,59,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,4,14,2,.900,1.66,9,3,59,0,0,0,22,97.1,64,20,18,23,86,6,2,6,379,.188,7,4,0,1,10
Michael,Attalah,Right-Handed Pitcher,6-3,185,Freshman,Redmond  Wash.,Cedar Park Christian,OSU,Oregon State University,Beaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cade,Warren,Right-Handed Pitcher,6-0,165,Redshirt Freshman,Miles City  Mont.,Custer County District,OSU,Oregon State University,Beaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan,Pearce,Right-Handed Pitcher,5-9,165,Junior,Central Point  Ore.,Crater,OSU,Oregon State University,Beaver,.000,25,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,1,1,0,1.000,3.49,2,0,25,0,0,0,2,28.1,31,11,11,7,27,7,1,2,122,.282,0,2,0,1,2
